start_time,end_time,label
299.968308,483.219726,N
483.219726,486.207722,S1
486.207722,486.866094,N
486.866094,489.85409,S1
489.85409,490.48714,N
490.48714,493.475136,S1
493.475136,511.479078,N
511.479078,514.467074,S1
514.467074,515.074802,N
515.074802,518.062798,S1
518.062798,554.374546,N
554.374546,557.362542,S1
557.362542,557.793016,N
557.793016,560.781012,S1
560.781012,561.338096,N
561.338096,564.326092,S1
564.326092,564.756566,N
564.756566,567.744562,S1
567.744562,568.124392,N
568.124392,571.112388,S1
571.112388,571.669472,N
571.669472,574.657468,S1
574.657468,575.265196,N
575.265196,578.253192,S1
578.253192,597.72581,N
597.72581,600.713806,S1
600.713806,604.233564,N
604.233564,607.22156,S1
607.22156,607.373492,N
607.373492,610.361488,S1
610.361488,610.969216,N
610.969216,613.957212,S1
613.957212,614.134466,N
614.134466,617.122462,S1
617.122462,621.553812,N
621.553812,624.541808,S1
624.541808,625.681298,N
625.681298,628.669294,S1
628.669294,629.732818,N
629.732818,632.720814,S1
632.720814,633.93627,N
633.93627,636.924266,S1
636.924266,676.933026,N
676.933026,679.921022,S1
679.921022,680.807292,N
680.807292,683.795288,S1
683.795288,684.808168,N
684.808168,687.796164,S1
687.796164,692.43009,N
692.43009,695.418086,S1
695.418086,711.67481,N
711.67481,714.662806,S1
714.662806,715.21989,N
715.21989,718.207886,S1
718.207886,735.09766,N
735.09766,738.085656,S1
738.085656,739.52901,N
739.52901,742.517006,S1
742.517006,742.846192,N
742.846192,745.834188,S1
745.834188,749.885708,N
749.885708,752.873704,S1
752.873704,758.115358,N
758.115358,761.103354,S1
761.103354,770.16863,N
770.16863,773.156626,S1
773.156626,773.561778,N
773.561778,776.549774,S1
776.549774,777.081536,N
777.081536,780.069532,S1
780.069532,781.234344,N
781.234344,784.22234,S1
784.22234,785.437796,N
785.437796,788.425792,S1
788.425792,789.66657,N
789.66657,792.654566,S1
792.654566,793.439548,N
793.439548,796.427544,S1
796.427544,797.288492,N
797.288492,800.276488,S1
800.276488,801.137436,N
801.137436,804.125432,S1
804.125432,828.763738,N
828.763738,831.777056,S1
831.777056,859.479324,N
859.479324,862.46732,S1
862.46732,867.075924,N
867.075924,870.06392,S1
870.06392,871.051478,N
871.051478,874.039474,S1
874.039474,874.74849,N
874.74849,877.736486,S1
877.736486,882.319768,N
882.319768,885.307764,S1
885.307764,885.966136,N
885.966136,888.954132,S1
888.954132,889.967012,N
889.967012,892.955008,S1
892.955008,893.967888,N
893.967888,896.955884,S1
896.955884,897.462324,N
897.462324,900.45032,S1
900.45032,904.172654,N
904.172654,907.16065,S1
907.16065,908.072242,N
908.072242,911.060238,S1
911.060238,912.174406,N
912.174406,915.162402,S1
915.162402,916.732366,N
916.732366,919.720362,S1
919.720362,920.32809,N
920.32809,923.316086,S1
923.316086,924.835406,N
924.835406,927.823402,S1
927.823402,945.422192,N
945.422192,948.410188,S1
948.410188,949.372424,N
949.372424,952.36042,S1
952.36042,960.84329,N
960.84329,963.831286,S1
963.831286,977.4292,N
977.4292,980.417196,S1
980.417196,981.683296,N
981.683296,984.671292,S1
984.671292,985.633528,N
985.633528,988.621524,S1
988.621524,989.811658,N
989.811658,992.799654,S1
992.799654,994.01511,N
994.01511,997.003106,S1
997.003106,997.636156,N
997.636156,1000.624152,S1
1000.624152,1001.383812,N
1001.383812,1004.371808,S1
1004.371808,1005.53662,N
1005.53662,1008.524616,S1
1008.524616,1009.613462,N
1009.613462,1012.601458,S1
1012.601458,1013.51305,N
1013.51305,1016.501046,S1
1016.501046,1017.31135,N
1017.31135,1020.299346,S1
1020.299346,1021.337548,N
1021.337548,1024.325544,S1
1024.325544,1025.059882,N
1025.059882,1028.047878,S1
1028.047878,1029.541876,N
1029.541876,1032.529872,S1
1032.529872,1033.846616,N
1033.846616,1036.834612,S1
1036.834612,1037.796848,N
1037.796848,1040.784844,S1
1040.784844,1041.164674,N
1041.164674,1044.15267,S1
1044.15267,1049.546256,N
1049.546256,1052.534252,S1
1052.534252,1055.54757,S1
1055.54757,1056.965602,N
1056.965602,1059.953598,S1
1059.953598,1060.890512,N
1060.890512,1063.878508,S1
1063.878508,1064.840744,N
1064.840744,1067.82874,S1
1067.82874,1072.715886,N
1072.715886,1075.703882,S1
1075.703882,1097.607412,N
1097.607412,1100.595408,S1
1100.595408,1101.00056,N
1101.00056,1103.988556,S1
1103.988556,1104.697572,N
1104.697572,1107.685568,S1
1107.685568,1107.913466,N
1107.913466,1110.901462,S1
1110.87614,1113.864136,S1
1113.864136,1114.092034,N
1114.092034,1117.08003,S1
1117.08003,1117.561148,N
1117.561148,1120.549144,S1
1120.549144,1120.979618,N
1120.979618,1123.967614,S1
1123.967614,1124.752596,N
1124.752596,1127.740592,S1
1127.740592,1136.046208,N
1136.046208,1139.034204,S1
1139.034204,1140.148372,N
1140.148372,1143.136368,S1
1143.136368,1143.870706,N
1143.870706,1146.858702,S1
1146.858702,1147.947548,N
1147.947548,1150.935544,S1
1150.935544,1151.214086,N
1151.214086,1154.227404,S1
1154.227404,1163.697832,N
1163.697832,1166.71115,S1
1166.71115,1174.81419,N
1174.81419,1177.802186,S1
1177.802186,1178.536524,N
1178.536524,1181.549842,S1
1181.549842,1182.41079,N
1182.41079,1185.424108,S1
1185.424108,1186.512954,N
1186.512954,1189.50095,S1
1189.50095,1194.641316,N
1194.641316,1197.629312,S1
1197.629312,1201.706154,N
1201.706154,1204.719472,S1
1204.719472,1206.289436,N
1206.289436,1209.277432,S1
1209.277432,1213.227664,N
1213.227664,1216.21566,S1
1216.21566,1216.924676,N
1216.924676,1219.912672,S1
1219.912672,1220.571044,N
1220.571044,1223.584362,S1
1223.584362,1224.850462,N
1224.850462,1227.86378,S1
1227.86378,1236.625192,N
