start_time,end_time,label,duration
240.012985,257.146464,N,17.133478999999994
257.146464,260.284596,S1,3.1381320000000414
260.284596,2073.463038,N,1813.178442
2073.463038,2076.471337,S1,3.008299000000079
2076.471337,2373.961728,N,297.4903910000003
2373.961728,2376.942428,S1,2.980699999999615
2376.942428,2486.138154,N,109.19572600000038
2486.138154,2489.174052,S1,3.0358979999996336
2489.174052,2490.140019,N,0.9659670000000915
2490.140019,2493.120719,S1,2.98070000000007
2493.120719,2495.301046,N,2.180327000000034
2495.301046,2498.281745,S1,2.9806989999997313
2498.281745,2513.00585,N,14.724105000000236
2513.00585,2516.014149,S1,3.008299000000079
2516.014149,2517.559697,N,1.5455480000000534
2517.559697,2520.540396,S1,2.9806989999997313
2520.540396,2556.915972,N,36.37557599999991
2556.915972,2559.896672,S1,2.98070000000007
2559.896672,2573.9446,N,14.047927999999956
2573.9446,2576.952898,S1,3.0082980000001953
2576.952898,2578.360451,N,1.4075530000000072
2578.360451,2581.36875,S1,3.008299000000079
2581.36875,2974.848711,N,393.479961
2974.848711,2977.85701,S1,3.008299000000079
2977.85701,3033.772729,N,55.915718999999626
3033.772729,3036.753428,S1,2.980699000000186
3036.753428,3043.570399,N,6.816971000000194
3043.570399,3046.551099,S1,2.980699999999615
3046.551099,3055.327603,N,8.776504000000386
3055.327603,3058.335902,S1,3.0082989999996244
3058.335902,3067.691987,N,9.356085000000348
3067.691987,3070.700286,S1,3.0082989999996244
3070.700286,3080.277164,N,9.576878000000306
3080.277164,3083.257864,S1,2.98070000000007
3083.257864,3118.915864,N,35.6579999999999
3118.915864,3121.924163,S1,3.008299000000079
3121.924163,3166.965847,N,45.041683999999805
3166.965847,3169.946547,S1,2.98070000000007
3169.946547,3213.139094,N,43.192547000000104
3213.139094,3216.119794,S1,2.98070000000007
3216.119794,3233.790826,N,17.67103199999974
3233.790826,3236.965028,S1,3.1742020000001503
3236.965028,3285.984813,N,49.019784999999956
3285.984813,3289.267226,S1,3.282412999999906
3289.267226,3292.333217,S1,3.06599099999994
3292.333217,3300.517754,N,8.184537000000091
3300.517754,3303.498454,S1,2.98070000000007
3303.498454,3309.432254,N,5.933799999999792
3309.432254,3312.440553,S1,3.008299000000079
3312.440553,3379.589094,N,67.14854100000002
3379.589094,3382.569793,S1,2.980699000000186
3382.569793,3384.777719,N,2.207926000000043
3384.777719,3387.786018,S1,3.0082989999996244
3387.786018,3389.552358,N,1.7663400000001275
3389.552358,3392.560657,S1,3.008299000000079
3392.560657,3401.364761,N,8.804103999999825
3401.364761,3404.345461,S1,2.98070000000007
3404.345461,3404.814645,N,0.4691840000000411
3404.814645,3407.795345,S1,2.98070000000007
3407.795345,3408.430123,N,0.6347780000000967
3408.430123,3411.438422,S1,3.008299000000079
3411.438422,3412.873574,N,1.4351520000000164
3412.873574,3415.881873,S1,3.0082989999996244
3415.881873,3417.179029,N,1.2971560000000864
3417.179029,3420.187328,S1,3.008299000000079
3420.187328,3421.153295,N,0.9659670000000915
3421.153295,3424.133995,S1,2.98070000000007
3424.133995,3424.851571,N,0.7175760000000082
3424.851571,3427.85987,S1,3.0082989999996244
3427.85987,3433.986863,N,6.126993000000311
3433.986863,3436.995162,S1,3.008299000000079
3436.995162,3439.092692,N,2.097530000000006
3439.092692,3442.10099,S1,3.0082979999997406
3442.10099,3444.005326,N,1.9043360000000575
3444.005326,3447.013625,S1,3.008299000000079
3447.013625,3448.200385,N,1.1867600000000493
3448.200385,3451.181085,S1,2.98070000000007
3451.181085,3453.913393,N,2.732307999999648
3453.913393,3456.921692,S1,3.008299000000079
3456.921692,3462.303511,N,5.381819000000178
3462.303511,3465.31181,S1,3.008299000000079
3465.31181,3466.581367,N,1.2695569999996223
3466.581367,3469.562067,S1,2.98070000000007
3469.562067,3470.693628,N,1.131561000000147
3470.693628,3473.701927,S1,3.008299000000079
3473.701927,3475.054282,N,1.3523549999999886
3475.054282,3478.062581,S1,3.008299000000079
3478.062581,3478.172977,N,0.11039600000003702
3478.172977,3481.181276,S1,3.0082989999996244
