start_time,end_time,label
60.111522,327.985543,N
327.985543,331.040391,S1
331.040391,332.945565,N
332.945565,336.000413,S1
336.000413,336.953,N
336.953,340.007848,S1
340.007848,388.03137,N
388.03137,391.05337,S1
391.05337,434.149717,N
434.149717,437.171717,S1
437.171717,460.592217,N
460.592217,463.712761,S1
463.712761,465.880717,N
465.880717,469.132652,S1
469.132652,471.037826,N
471.037826,474.256913,S1
474.256913,612.776196,N
612.776196,616.19237,S1
616.19237,617.342043,N
617.342043,620.462587,S1
620.462587,797.840848,N
797.840848,801.158478,S1
801.158478,802.078217,N
802.078217,805.034522,S1
805.034522,807.498109,N
807.498109,810.421565,S1
810.421565,1208.438674,N
1208.438674,1211.822,S1
1211.822,2383.569652,N
2383.569652,2386.723043,S1
2386.723043,2423.118435,N
2423.118435,2426.238978,S1
2426.238978,2434.713717,N
2434.713717,2437.834261,S1
