start_time,end_time,label,duration
1740.043855,2409.783525,N,669.7396699999999
2409.783525,2412.82446,S1,3.0409349999999904
2412.82446,2551.868582,N,139.04412200000024
2551.868582,2555.224096,S1,3.3555139999998573
2555.224096,2560.912741,N,5.688645000000179
2560.912741,2564.373115,S1,3.4603739999997742
2564.373115,2775.534578,N,211.1614629999999
2775.534578,2778.942522,S1,3.407944000000043
2778.942522,2780.725139,N,1.7826170000003003
2780.725139,2784.054438,S1,3.329298999999992
2784.054438,2790.372243,N,6.31780499999968
2790.372243,2794.016121,S1,3.6438780000003135
2794.016121,2794.80257,N,0.7864489999997204
2794.80257,2798.315374,S1,3.51280399999996
2798.315374,3255.373115,N,457.0577410000001
3255.373115,3258.912134,S1,3.5390190000002804
3258.912134,3336.534615,N,77.62248099999988
3336.534615,3339.94256,S1,3.407944999999927
3339.94256,3409.62191,N,69.67934999999989
3409.62191,3412.5842,S1,2.962289999999939
3412.5842,3413.868733,N,1.2845330000000104
3413.868733,3417.040742,S1,3.172009000000344
3417.040742,3419.688453,N,2.647711000000072
3419.688453,3422.572098,S1,2.8836449999998877
3422.572098,3430.226865,N,7.6547669999999925
3430.226865,3433.687239,S1,3.4603739999997742
3433.687239,3434.997987,N,1.3107480000003306
3434.997987,3438.012706,S1,3.0147189999997863
3438.012706,3439.244809,N,1.2321029999998245
3439.244809,3442.495464,S1,3.250655000000279
3442.495464,3444.042146,N,1.5466819999996915
3444.042146,3447.319015,S1,3.2768690000002607
3447.319015,3457.988502,N,10.669487000000117
3457.988502,3461.186727,S1,3.1982249999996384
3461.186727,3463.283923,N,2.0971960000001673
3463.283923,3466.298643,S1,3.014720000000125
3466.298643,3472.773737,N,6.475093999999899
3472.773737,3475.867101,S1,3.0933639999998377
3475.867101,3477.728363,N,1.8612620000003517
3477.728363,3480.900373,S1,3.172009999999773
3480.900373,3496.760421,N,15.860048000000006
3496.760421,3500.063505,S1,3.3030840000001263
3500.063505,3501.662617,N,1.5991119999998773
3501.662617,3504.913272,S1,3.250654999999824
3504.913272,3511.938879,N,7.025607000000036
3511.938879,3515.084674,S1,3.145795000000362
3515.084674,3516.447852,N,1.363177999999607
3516.447852,3519.803366,S1,3.355514000000312
3519.803366,3521.900562,N,2.0971959999997125
3521.900562,3525.020142,S1,3.1195800000000418
3525.020142,3526.750329,N,1.7301870000001145
3526.750329,3530.027198,S1,3.2768690000002607
3530.027198,3531.442806,N,1.4156079999997928
3531.442806,3534.981825,S1,3.5390189999998256
3534.981825,3536.397433,N,1.4156080000002476
3536.397433,3539.569442,S1,3.172008999999889
3539.569442,3541.614209,N,2.044766999999865
3541.614209,3544.733788,S1,3.119579000000158
3544.733788,3568.510752,N,23.776964000000135
3568.510752,3571.577902,S1,3.067149999999856
3571.577902,3581.880379,N,10.30247700000018
3581.880379,3585.340754,S1,3.460374999999658
3585.340754,3591.737203,N,6.3964490000003025
3591.737203,3595.250007,S1,3.51280399999996
3595.250007,3597.032624,N,1.7826169999998456
3597.032624,3600.597857,S1,3.565233000000262
3600.597857,3601.751315,N,1.1534579999997732
3601.751315,3605.421409,S1,3.670094000000063
3605.421409,3606.024353,N,0.6029439999997521
3606.024353,3609.484727,S1,3.460374000000229
3609.484727,3611.005195,N,1.5204680000001645
3611.005195,3614.491784,S1,3.48658899999964
3614.491784,3616.7987,N,2.306916000000001
3616.7987,3620.232859,S1,3.4341590000003634
3620.232859,3622.4087,N,2.175840999999764
3622.4087,3625.737999,S1,3.329298999999992
3625.737999,3626.314728,N,0.5767289999998866
3626.314728,3629.748887,S1,3.4341590000003634
3629.748887,3631.452859,N,1.7039719999997942
3631.452859,3634.729729,S1,3.2768700000001445
3634.729729,3636.80071,N,2.070980999999847
3636.80071,3640.208654,S1,3.407944000000043
3640.208654,3642.410711,N,2.202056999999968
3642.410711,3645.53029,S1,3.119579000000158
3645.53029,3710.490949,N,64.96065899999985
3710.490949,3714.082398,S1,3.5914490000000114
3714.082398,3730.807539,N,16.725140999999894
3730.807539,3734.110623,S1,3.3030840000001263
3734.110623,3741.477026,N,7.366402999999991
3741.477026,3744.78011,S1,3.3030840000001263
3744.78011,3746.798662,N,2.0185519999999997
3746.798662,3750.075531,S1,3.276868999999806
3750.075531,3951.53746,N,201.46192900000005
3951.53746,3954.788115,S1,3.250654999999824
3954.788115,7756.743042,N,3801.954927
7756.743042,7759.731546,S1,2.988503999999921
7759.731546,8108.023439,N,348.2918929999996
8108.023439,8111.326523,S1,3.3030840000001263
8111.326523,8112.715916,N,1.389393000000382
8112.715916,8115.887925,S1,3.172008999999889
8115.887925,8117.827832,N,1.9399069999999483
8117.827832,8121.026057,S1,3.198225000000093
8121.026057,8123.464047,N,2.4379900000003545
8123.464047,8126.950636,S1,3.486588999999185
8126.950636,8128.392459,N,1.441823000000113
8128.392459,8131.564469,S1,3.1720100000002276
8131.564469,8133.111151,N,1.5466820000001462
8133.111151,8136.38802,S1,3.2768690000002607
8136.38802,8137.934703,N,1.5466829999995753
8137.934703,8140.896993,S1,2.9622900000003938
8140.896993,8142.732039,N,1.8350460000001476
8142.732039,8145.799189,S1,3.067149999999856
8145.799189,8148.001245,N,2.202056000000084
8148.001245,8151.173255,S1,3.172009999999318
